player_id,real_name,country,current_team,status,player_url,career_history,teams_count,roles,birth_date,nationality
10K,Théo Navaro,France,,Active,https://liquipedia.net/valorant/10K,"[{""date_start"": ""2021-01-19"", ""date_end"": ""2021-05-02"", ""date_range"": ""2021-01-19 \u2014 2021-05-02"", ""team"": ""Megakich"", ""status"": ""Active""}, {""date_start"": ""2021-05-31"", ""date_end"": ""2021-08-12"", ""date_range"": ""2021-05-31 \u2014 2021-08-12"", ""team"": ""Team Finest"", ""status"": ""Active""}, {""date_start"": ""2022-01-04"", ""date_end"": ""2022-02-11"", ""date_range"": ""2022-01-04 \u2014 2022-02-11"", ""team"": ""Orgless22"", ""status"": ""Active""}, {""date_start"": ""2022-02-11"", ""date_end"": ""2022-04-19"", ""date_range"": ""2022-02-11 \u2014 2022-04-19"", ""team"": ""Dsyre"", ""status"": ""Active""}, {""date_start"": ""2022-04-20"", ""date_end"": ""2022-07-04"", ""date_range"": ""2022-04-20 \u2014 2022-07-04"", ""team"": ""Valar Morghulis"", ""status"": ""Active""}, {""date_start"": ""2022-07-04"", ""date_end"": ""2022-10-06"", ""date_range"": ""2022-07-04 \u2014 2022-10-06"", ""team"": ""VMS"", ""status"": ""Inactive""}, {""date_start"": ""2022-10-06"", ""date_end"": ""2022-12-04"", ""date_range"": ""2022-10-06 \u2014 2022-12-04"", ""team"": ""GMT Esports"", ""status"": ""Active""}, {""date_start"": ""2022-12-04"", ""date_end"": ""2023-03-25"", ""date_range"": ""2022-12-04 \u2014 2023-03-25"", ""team"": ""GMT"", ""status"": ""Inactive""}, {""date_start"": ""2023-04-02"", ""date_end"": """", ""date_range"": ""2023-04-02 \u2014 2023-??-??"", ""team"": ""Akroma"", ""status"": ""Active""}]",9,[],,
AKUMAAAAA,Alex Lo Bello,France,Esprit Shōnen,Active,https://liquipedia.net/valorant/AKUMAAAAA,"[{""date_start"": ""2020-05-13"", ""date_end"": ""2020-09-01"", ""date_range"": ""2020-05-13 \u2014 2020-09-01"", ""team"": ""StartedFromCS"", ""status"": ""Active""}, {""date_start"": ""2020-09-14"", ""date_end"": ""2020-11-26"", ""date_range"": ""2020-09-14 \u2014 2020-11-26"", ""team"": ""Opportunists"", ""status"": ""Active""}, {""date_start"": ""2020-11-26"", ""date_end"": ""2021-03-31"", ""date_range"": ""2020-11-26 \u2014 2021-03-31"", ""team"": ""DfuseTeam"", ""status"": ""Active""}, {""date_start"": ""2021-03-31"", ""date_end"": ""2021-04-15"", ""date_range"": ""2021-03-31 \u2014 2021-04-15"", ""team"": ""Opportunists"", ""status"": ""Active""}, {""date_start"": ""2021-04-15"", ""date_end"": ""2022-02-13"", ""date_range"": ""2021-04-15 \u2014 2022-02-13"", ""team"": ""Team BDS"", ""status"": ""Active""}, {""date_start"": ""2022-04-11"", ""date_end"": ""2024-08-18"", ""date_range"": ""2022-04-11 \u2014 2024-08-18"", ""team"": ""Mandatory"", ""status"": ""Active""}, {""date_start"": ""2024-08-18"", ""date_end"": ""2024-09-13"", ""date_range"": ""2024-08-18 \u2014 2024-09-13"", ""team"": ""MDR"", ""status"": ""Inactive""}, {""date_start"": ""2024-12-29"", ""date_end"": ""2025-05-25"", ""date_range"": ""2024-12-29 \u2014 2025-05-25"", ""team"": ""Joblife"", ""status"": ""Active""}, {""date_start"": ""2025-05-25"", ""date_end"": ""2025-10-30"", ""date_range"": ""2025-05-25 \u2014 2025-10-30"", ""team"": ""Joblife"", ""status"": ""Inactive""}, {""date_start"": ""2025-10-30"", ""date_end"": ""2026-01-05"", ""date_range"": ""2025-10-30 \u2014 2026-01-05"", ""team"": ""Nuxeria Esport"", ""status"": ""Active""}, {""date_start"": ""2026-01-05"", ""date_end"": ""Present"", ""date_range"": ""2026-01-05 \u2014Present"", ""team"": ""Esprit Sh\u014dnen"", ""status"": ""Active""}]",11,[],,
APO,Tom Bonnion,France,,Active,https://liquipedia.net/valorant/APO,"[{""date_start"": ""2020-12-14"", ""date_end"": ""2021-01-12"", ""date_range"": ""2020-12-14 \u2014 2021-01-12"", ""team"": ""Cave Canem"", ""status"": ""Active""}, {""date_start"": ""2021-02-03"", ""date_end"": ""2021-06-01"", ""date_range"": ""2021-02-03 \u2014 2021-06-01"", ""team"": ""Entropiq"", ""status"": ""Active""}, {""date_start"": ""2021-06-18"", ""date_end"": ""2021-07-13"", ""date_range"": ""2021-06-18 \u2014 2021-07-13"", ""team"": ""Megastitut"", ""status"": ""Active""}, {""date_start"": ""2021-07-13"", ""date_end"": ""2021-10-18"", ""date_range"": ""2021-07-13 \u2014 2021-10-18"", ""team"": ""Bonsoir"", ""status"": ""Active""}, {""date_start"": ""2021-10-18"", ""date_end"": ""2022-01-28"", ""date_range"": ""2021-10-18 \u2014 2022-01-28"", ""team"": ""Last Dance"", ""status"": ""Active""}, {""date_start"": ""2022-01-28"", ""date_end"": ""2022-07-12"", ""date_range"": ""2022-01-28 \u2014 2022-07-12"", ""team"": ""Mandatory"", ""status"": ""Active""}, {""date_start"": ""2023-02-03"", ""date_end"": ""2023-05-04"", ""date_range"": ""2023-02-03 \u2014 2023-05-04"", ""team"": ""M8"", ""status"": ""Stand-in""}, {""date_start"": ""2023-05-04"", ""date_end"": ""2023-11-16"", ""date_range"": ""2023-05-04 \u2014 2023-11-16"", ""team"": ""Gentle Mates"", ""status"": ""Active""}, {""date_start"": ""2023-12-10"", ""date_end"": ""2024-08-26"", ""date_range"": ""2023-12-10 \u2014 2024-08-26"", ""team"": ""Solary"", ""status"": ""Active""}, {""date_start"": ""2024-08-26"", ""date_end"": ""2024-09-29"", ""date_range"": ""2024-08-26 \u2014 2024-09-29"", ""team"": ""Solary"", ""status"": ""Inactive""}, {""date_start"": ""2024-12-24"", ""date_end"": """", ""date_range"": ""2024-12-24"", ""team"": ""Retired"", ""status"": ""Active""}]",11,[],,
Akio,Emil Tichit,France,Colors Esport,Active,https://liquipedia.net/valorant/Akio,"[{""date_start"": ""2025-04-10"", ""date_end"": ""2025-05-24"", ""date_range"": ""2025-04-10 \u2014 2025-05-24"", ""team"": ""MGA Esport"", ""status"": ""Active""}, {""date_start"": ""2025-05-26"", ""date_end"": ""2026-01-23"", ""date_range"": ""2025-05-26 \u2014 2026-01-23"", ""team"": ""Colors Esport"", ""status"": ""Active""}]",2,[],,
Akita,Esllene Xu,France,G2 Gozen,Active,https://liquipedia.net/valorant/Akita,"[{""date_start"": ""2024-01-24"", ""date_end"": ""2024-04-12"", ""date_range"": ""2024-01-24 \u2014 2024-04-12"", ""team"": ""Cicadas Krew"", ""status"": ""Active""}, {""date_start"": ""2024-04-19"", ""date_end"": ""2024-07-04"", ""date_range"": ""2024-04-19 \u2014 2024-07-04"", ""team"": ""F9 Wonders"", ""status"": ""Active""}, {""date_start"": ""2024-07-06"", ""date_end"": ""2025-04-28"", ""date_range"": ""2024-07-06 \u2014 2025-04-28"", ""team"": ""ZERANCE MINT"", ""status"": ""Active""}, {""date_start"": ""2025-04-28"", ""date_end"": ""Present"", ""date_range"": ""2025-04-28 \u2014Present"", ""team"": ""G2 Gozen"", ""status"": ""Active""}]",4,[],,
Alikea,Alicia Boina,France,GODSENT IRIS,Active,https://liquipedia.net/valorant/Alikea,"[{""date_start"": ""2020-05-07"", ""date_end"": ""Present"", ""date_range"": ""2020-05-07 \u2014Present"", ""team"": ""GODSENT IRIS"", ""status"": ""Active""}]",1,[],,
BaWaN,Loic Martello,France,,Active,https://liquipedia.net/valorant/BaWaN,"[{""date_start"": ""2022-02-11"", ""date_end"": ""2022-12-08"", ""date_range"": ""2022-02-11 \u2014 2022-12-08"", ""team"": ""beGenius ESC"", ""status"": ""Active""}, {""date_start"": ""2023-04-03"", ""date_end"": ""2023-09-18"", ""date_range"": ""2023-04-03 \u2014 2023-09-18"", ""team"": ""3DMAX"", ""status"": ""Coach""}, {""date_start"": ""2023-09-18"", ""date_end"": ""2023-11-30"", ""date_range"": ""2023-09-18 \u2014 2023-11-30"", ""team"": ""3DMAX"", ""status"": ""Active""}]",3,[],,
Babax,Baptiste Bertrand,France,ToDoBew,Active,https://liquipedia.net/valorant/Babax,"[{""date_start"": ""2022-09-04"", ""date_end"": """", ""date_range"": ""2022-??-?? \u2014 2022-09-04"", ""team"": ""ZERANCE"", ""status"": ""Active""}, {""date_start"": ""2022-09-19"", ""date_end"": ""2022-12-12"", ""date_range"": ""2022-09-19 \u2014 2022-12-12"", ""team"": ""Mandatory"", ""status"": ""Active""}, {""date_start"": ""2023-01-10"", ""date_end"": ""2025-03-12"", ""date_range"": ""2023-01-10 \u2014 2025-03-12"", ""team"": ""ZERANCE"", ""status"": ""Active""}, {""date_start"": ""2025-03-28"", ""date_end"": ""2025-06-05"", ""date_range"": ""2025-03-28 \u2014 2025-06-05"", ""team"": ""F9 EICAR"", ""status"": ""Active""}, {""date_start"": ""2025-06-05"", ""date_end"": ""Present"", ""date_range"": ""2025-06-05 \u2014Present"", ""team"": ""ToDoBew"", ""status"": ""Active""}]",5,[],,
Ché,Clément Doufar,France,Coalesce,Active,https://liquipedia.net/valorant/Ch%C3%A9,"[{""date_start"": ""2023-09-08"", ""date_end"": ""2023-12-18"", ""date_range"": ""2023-09-08 \u2014 2023-12-18"", ""team"": ""Exalty"", ""status"": ""Active""}, {""date_start"": ""2024-02-15"", ""date_end"": ""2024-07-13"", ""date_range"": ""2024-02-15 \u2014 2024-07-13"", ""team"": ""NOMAD"", ""status"": ""Active""}, {""date_start"": ""2025-03-07"", ""date_end"": ""2025-11-03"", ""date_range"": ""2025-03-07 \u2014 2025-11-03"", ""team"": ""Valiant Legacy"", ""status"": ""Active""}, {""date_start"": ""2025-11-03"", ""date_end"": ""2026-01-16"", ""date_range"": ""2025-11-03 \u2014 2026-01-16"", ""team"": ""Vestige"", ""status"": ""Active""}, {""date_start"": ""2026-01-16"", ""date_end"": ""Present"", ""date_range"": ""2026-01-16 \u2014Present"", ""team"": ""Coalesce"", ""status"": ""Active""}]",5,[],,
Cla,Clara Rossi,France,,Active,https://liquipedia.net/valorant/Cla,"[{""date_start"": ""2021-04-10"", ""date_end"": ""2021-08-08"", ""date_range"": ""2021-04-10 \u2014 2021-08-08"", ""team"": ""GangsterzZ"", ""status"": ""Active""}, {""date_start"": ""2021-08-08"", ""date_end"": ""2022-12-01"", ""date_range"": ""2021-08-08 \u2014 2022-12-01"", ""team"": ""TENSTAR Nova"", ""status"": ""Active""}, {""date_start"": ""2022-12-01"", ""date_end"": ""2023-01-01"", ""date_range"": ""2022-12-01 \u2014 2023-01-01"", ""team"": ""TEN N"", ""status"": ""Inactive""}, {""date_start"": ""2023-02-22"", ""date_end"": ""2023-06-29"", ""date_range"": ""2023-02-22 \u2014 2023-06-29"", ""team"": ""CBA"", ""status"": ""Active""}, {""date_start"": ""2023-06-29"", ""date_end"": ""2023-12-01"", ""date_range"": ""2023-06-29 \u2014 2023-12-01"", ""team"": ""Guild X"", ""status"": ""Active""}, {""date_start"": ""2024-03-19"", ""date_end"": ""2024-07-15"", ""date_range"": ""2024-03-19 \u2014 2024-07-15"", ""team"": ""NASR Ignite"", ""status"": ""Active""}]",6,[],,
CyvOph,Clément Millard,France,Team Vitality,Active,https://liquipedia.net/valorant/CyvOph,"[{""date_start"": ""2021-07-18"", ""date_end"": ""2021-10-26"", ""date_range"": ""2021-07-18 \u2014 2021-10-26"", ""team"": ""Exalty"", ""status"": ""Active""}, {""date_start"": ""2022-10-18"", ""date_end"": ""2022-12-16"", ""date_range"": ""2022-10-18 \u2014 2022-12-16"", ""team"": ""beGenius ESC"", ""status"": ""Active""}, {""date_start"": ""2023-01-09"", ""date_end"": ""2023-06-19"", ""date_range"": ""2023-01-09 \u2014 2023-06-19"", ""team"": ""Valiant"", ""status"": ""Active""}, {""date_start"": ""2023-06-19"", ""date_end"": ""2023-09-18"", ""date_range"": ""2023-06-19 \u2014 2023-09-18"", ""team"": ""Valiant"", ""status"": ""Inactive""}, {""date_start"": ""2023-09-18"", ""date_end"": ""2023-10-02"", ""date_range"": ""2023-09-18 \u2014 2023-10-02"", ""team"": ""3DMAX"", ""status"": ""Active""}, {""date_start"": ""2023-10-02"", ""date_end"": ""2024-01-18"", ""date_range"": ""2023-10-02 \u2014 2024-01-18"", ""team"": ""3DMAX"", ""status"": ""Inactive""}, {""date_start"": ""2024-01-18"", ""date_end"": ""2025-03-18"", ""date_range"": ""2024-01-18 \u2014 2025-03-18"", ""team"": ""Mandatory"", ""status"": ""Active""}, {""date_start"": ""2025-03-18"", ""date_end"": ""2025-06-16"", ""date_range"": ""2025-03-18 \u2014 2025-06-16"", ""team"": ""Team Vitality"", ""status"": ""Active""}, {""date_start"": ""2025-06-16"", ""date_end"": """", ""date_range"": ""2025-06-16"", ""team"": ""VIT"", ""status"": ""Inactive""}, {""date_start"": ""2025-06-16"", ""date_end"": ""2025-10-01"", ""date_range"": ""2025-06-16 \u2014 2025-10-01"", ""team"": ""\u203aJoblife"", ""status"": ""Loan""}]",10,[],,
DGR,Erwan Hery,France,Caldya Esport,Active,https://liquipedia.net/valorant/DGR,"[{""date_start"": ""2022-10-11"", ""date_end"": ""2022-11-24"", ""date_range"": ""2022-10-11 \u2014 2022-11-24"", ""team"": ""Klanik Esport"", ""status"": ""Active""}, {""date_start"": ""2025-03-08"", ""date_end"": ""2025-03-10"", ""date_range"": ""2025-03-08 \u2014 2025-03-10"", ""team"": ""mCon esports"", ""status"": ""Active""}, {""date_start"": ""2025-06-24"", ""date_end"": """", ""date_range"": ""2025-06-24 \u2014 2025-07-??"", ""team"": ""Caldya Esport"", ""status"": ""Active""}]",3,[],,
DarkLight,Lucas Rossetto,France,,Active,https://liquipedia.net/valorant/DarkLight,"[{""date_start"": ""2022-02-11"", ""date_end"": ""2022-07-04"", ""date_range"": ""2022-02-11 \u2014 2022-07-04"", ""team"": ""beGenius ESC"", ""status"": ""Active""}, {""date_start"": ""2023-01-10"", ""date_end"": ""2023-07-20"", ""date_range"": ""2023-01-10 \u2014 2023-07-20"", ""team"": ""ZERANCE"", ""status"": ""Active""}, {""date_start"": ""2023-07-20"", ""date_end"": ""2023-10-07"", ""date_range"": ""2023-07-20 \u2014 2023-10-07"", ""team"": ""ZERANCE"", ""status"": ""Inactive""}, {""date_start"": ""2024-01-17"", ""date_end"": ""2024-05-09"", ""date_range"": ""2024-01-17 \u2014 2024-05-09"", ""team"": ""Bakim Corp"", ""status"": ""Active""}, {""date_start"": ""2024-05-09"", ""date_end"": ""2024-07-31"", ""date_range"": ""2024-05-09 \u2014 2024-07-31"", ""team"": ""Solary"", ""status"": ""Active""}]",5,[],,
